ColonyID,Individual,ReproductiveStage,Date,Size,Time,Duration(min),Treatment,Trip,FSequence,NectarValue,ChoiceNumber,NumChoices,NumRisky,PropRisky,DayColReceived,DaysOld,ColorSafe,ColorRisky,ColorSR
A,B29a,R,1-16-21,108,1127,5,E,1,"S,S,R,S,S,R,","1.25,1.25,0.5,1.25,1.25,0.5,","1,2,3,4,5,6,",6,2,0.333333333,10-14-20,94,O,Y,OY
A,B29a,R,1-16-21,108,1133,17,E,2,"S,R,R,S,S,R,R,R,","1.25,0.5,0.5,1.25,1.25,2,2,2,","7,8,9,10,11,12,13,14,",8,5,0.625,10-14-20,94,O,Y,OY
A,G48a,W,12-1-20,152,1202,15,E,1,"R,S,R,R,S,S,S,S,S,S,S,S,R,R,S,S,","2,1.25,2,2,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,0.5,2,1.25,1.25,","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,5,0.3125,10-14-20,48,B,O,BO
A,G48a,W,12-1-20,152,1220,10,E,2,"S,S,S,S,S,S,S,R,S,S,S,S,S,R,R,S,S,","1.25,1.25,1.25,1.25,1.25,1.25,1.25,2,1.25,1.25,1.25,1.25,1.25,2,2,1.25,1.25,","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,",17,3,0.176470588,10-14-20,48,B,O,BO
A,G53a,W,11-6-20,51,1425,na,E,1,"S,R,R,S,R,S,S,R,R,","1.25,0.5,2,1.25,2,1.25,1.25,0.5,2,","1,2,3,4,5,6,7,8,9,",9,5,0.555555556,10-14-20,23,B,P,BP
A,G53a,W,11-6-20,51,1425,na,E,2,"R,S,S,R,S,S,R,R,R,S,R,R,","0.5,1.25,1.25,0.5,1.25,1.25,2,2,0.5,1.25,2,2,","10,11,12,13,14,15,16,17,18,19,20,21,",12,7,0.583333333,10-14-20,23,B,P,BP
A,G6a,W,11-25-20,153,947,7,E,1,"S,S,S,R,R,S,R,S,S,R,","1.25,1.25,1.25,0.5,2,1.25,0.5,1.25,1.25,0.5,","1,2,3,4,5,6,7,8,9,10,",10,4,0.4,10-14-20,42,Y,O,YO
A,G6a,W,11-25-20,153,957,3,E,2,"R,S,R,S,R,S,S,S,S,R,R,","2,1.25,2,1.25,0.5,1.25,1.25,1.25,1.25,0.5,2,","11,12,13,14,15,16,17,18,19,20,21,",11,5,0.454545455,10-14-20,42,Y,O,YO
A,R80,R,1-16-21,108,1013,17,E,1,"S,S,S,R,S,S,S,R,S,S,S,S,S,S,","1.25,1.25,1.25,0.5,1.25,1.25,1.25,0.5,1.25,1.25,1.25,1.25,1.25,1.25,","1,2,3,4,5,6,7,8,9,10,11,12,13,14,",14,2,0.142857143,10-14-20,33,B,P,BP
A,R80,R,1-16-21,108,1047,18,E,2,"S,S,S,","1.25,1.25,1.25,","15,16,17,",3,0,0,10-14-20,33,B,P,BP
A,Y85a,W,1-13-21,108,1045,13,E,1,"R,R,R,","0.5,2,0.5,","18,12,14,",3,3,1,10-14-20,30,P,O,PO
A,Y85a,W,1-13-21,108,1105,11,E,2,"R,","2,","3,",1,1,1,10-14-20,30,P,O,PO
A,W54a,W,11-25-20,153,1024,4,E,1,"S,R,S,S,S,S,R,S,","1.25,2,1.25,1.25,1.25,1.25,0.5,1.25,","1,2,3,4,5,6,7,8,",8,2,0.25,10-14-20,42,B,Y,BY
A,W54a,W,11-25-20,153,1031,na,E,2,"S,S,S,R,R,R,S,S,S,S,S,S,S,S,S,R,R,R,S,S,S,R,S,S,R,S,S,","1.25,1.25,1.25,2,2,2,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,2,0.5,1.25,1.25,1.25,1.25,0.5,1.25,1.25,0.5,1.25,1.25,","9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,",27,8,0.296296296,10-14-20,42,B,Y,BY
A,W60a,W,11-8-20,51,1415,10,E,1,"R,R,R,R,R,R,R,R,R,R,R,R,S,","0.5,0.5,2,0.5,2,0.5,2,2,2,0.5,0.5,0.5,1.25,","1,2,3,4,5,6,7,8,9,10,11,12,13,",13,12,0.923076923,10-14-20,25,Y,B,YB
A,W60a,W,11-8-20,51,1428,12,E,2,"S,R,R,R,R,R,R,R,R,","1.25,0.5,2,0.5,2,2,2,0.5,2,","14,15,16,17,18,19,20,21,22,",9,8,0.888888889,10-14-20,25,Y,B,YB
A,W93,R,11-17-21,100,1208,17,E,1,"R,R,R,R,R,R,R,R,","0.5,2,0.5,2,2,2,0.5,0.5,","1,2,3,4,5,6,7,8,",8,8,1,10-14-20,34,O,P,OP
A,W93,R,11-17-21,100,1243,12,E,2,"S,R,S,R,R,R,R,","1.25,2,1.25,2,2,0.5,2,","9,10,11,12,13,14,15,",7,5,0.714285714,10-14-20,34,O,P,OP
A,Y11a,W,11-3-20,51,1010,na,E,1,"S,S,S,","1.25,1.25,1.25,","1,2,3,",3,0,0,10-14-20,20,P,Y,PY
